e7 -> e5, g8 -> f6, d7 -> d6, f8 -> e7, c7 -> c6, b8 -> d7
e7 -> e5, g8 -> f6, f8 -> c5, d7 -> d6, b8 -> c6, h7 -> h6
e7 -> e5, g8 -> f6, d7 -> d6, f8 -> e7, c7 -> c5, b8 -> c6
e7 -> e5, g8 -> f6, f8 -> e7, d7 -> d6, c7 -> c6, b8 -> d7
e7 -> e5, g8 -> f6, d7 -> d6, f8 -> e7, c7 -> c5, b8 -> c6
e7 -> e5, g8 -> f6, f8 -> e7, d7 -> d6, b8 -> d7, c7 -> c5
e7 -> e5, g8 -> f6, f8 -> c5, d7 -> d6, b8 -> c6, h7 -> h6
c7 -> c5, g8 -> f6, d7 -> d6, b8 -> c6, g7 -> g6, f8 -> g7
c7 -> c5, g8 -> f6, d7 -> d6, e7 -> e6, f8 -> e7, b8 -> c6
c7 -> c5, g8 -> f6, d7 -> d6, b8 -> c6, e7 -> e5, f8 -> e7
c7 -> c5, g8 -> f6, d7 -> d6, b8 -> c6, g7 -> g6, f8 -> g7
c7 -> c5, g8 -> f6, e7 -> e6, d7 -> d6, b8 -> d7, f8 -> e7
c7 -> c5, g8 -> f6, e7 -> e6, d7 -> d6, b8 -> d7, f8 -> e7
g7 -> g6, f8 -> g7, d7 -> d6, e7 -> e5, g8 -> f6, b8 -> d7
g7 -> g6, f8 -> g7, d7 -> d6, e7 -> e5, g8 -> f6, b8 -> c6
g7 -> g6, f8 -> g7, d7 -> d6, c7 -> c5, b8 -> c6, g8 -> f6
g7 -> g6, f8 -> g7, d7 -> d6, c7 -> c5, b8 -> c6, g8 -> f6
d7 -> d5, g8 -> f6, e7 -> e6, f8 -> e7, c7 -> c6, b8 -> d7
d7 -> d5, g8 -> f6, e7 -> e6, f8 -> e7, c7 -> c5, b8 -> c6
d7 -> d5, g8 -> f6, e7 -> e6, f8 -> e7, c7 -> c5, b8 -> c6
d7 -> d5, g8 -> f6, e7 -> e6, f8 -> e7, c7 -> c6, b8 -> d7
d7 -> d5, g8 -> f6, c7 -> c6, e7 -> e6, f8 -> e7, b8 -> d7
b7 -> b6, f8 -> b7, g8 -> f6, e7 -> e6, d7 -> d6, c7 -> c5
b7 -> b6, f8 -> b7, g8 -> f6, e7 -> e6, d7 -> d6, c7 -> c5
