d2 -> d4, g1 -> f3, c2 -> c4, b1 -> c3, e2 -> e3, f1 -> g5  
d2 -> d4, c2 -> c4, g1 -> f3, b1 -> c3, d2 -> d3, f1 -> e2  
d2 -> d4, c2 -> c4, g1 -> f3, e2 -> e3, b1 -> c3, c1 -> d3  
d2 -> d4, c2 -> c4, g1 -> f3, e2 -> e3, b1 -> d2, f1 -> e2  
d2 -> d4, c2 -> c4, g1 -> f3, b1 -> c3, e2 -> e3, c1 -> d2  
d2 -> d4, g1 -> f3, c2 -> c4, e2 -> e3, b1 -> d2, f1 -> d3  
d2 -> d4, c2 -> c4, g1 -> f3, e2 -> e3, b1 -> d2, c1 -> d3  
d2 -> d4, g1 -> f3, c2 -> c4, e2 -> e3, f1 -> d3, b1 -> c3  
d2 -> d4, g1 -> f3, c2 -> c4, b1 -> c3, e2 -> e3, f1 -> d3  
c2 -> c4, g1 -> f3, d2 -> d4, b1 -> c3, g2 -> g3, f1 -> g2  
c2 -> c4, g1 -> f3, d2 -> d4, e2 -> e3, b1 -> c3, f1 -> e2  
c2 -> c4, g1 -> f3, d2 -> d4, g2 -> g3, f1 -> g2, e2 -> e4  
c2 -> c4, g1 -> f3, d2 -> d4, b1 -> c3, e2 -> e3, f1 -> d3  
g2 -> g3, f1 -> g2, d2 -> d4, g1 -> f3, e2 -> e3, b1 -> c3  
g2 -> g3, f1 -> g2, d2 -> d4, c2 -> c4, g1 -> f3, e2 -> e3  
g2 -> g3, f1 -> g2, d2 -> d4, c2 -> c4, g1 -> f3, b1 -> d2  
g2 -> g3, f1 -> g2, d2 -> d4, c2 -> c4, e2 -> e3, g1 -> f3  
g2 -> g3, f1 -> g2, d2 -> d4, c2 -> c4, b1 -> c3, e2 -> e3  
b2 -> b3, c1 -> b2, g1 -> f3, e2 -> e3, d2 -> d4, f1 -> e2  
b2 -> b3, c1 -> b2, d2 -> d4, g1 -> f3, e2 -> e3, b1 -> d2  
b2 -> b3, c1 -> b2, d2 -> d4, g1 -> f3, b1 -> c3, e2 -> e3  
f2 -> f4, g1 -> f3, d2 -> d4, c2 -> c4, b1 -> c3, f1 -> d3  
f2 -> f4, g1 -> f3, d2 -> d4, b1 -> c3, g2 -> g3, f1 -> g2  
f2 -> f4, g1 -> f3, d2 -> d4, b1 -> d2, g2 -> g3, f1 -> g2  
